kernel,C,gamma,mean_f1_macro,std_f1_macro,estimated_test_f1,mean_f1_weighted,mean_prec_macro,mean_rec_macro,mean_accuracy
linear,0.1,N/A,0.6651334791353197,0.011780720423227687,0.6474623985004782,0.763189255033964,0.6508788988191666,0.698503344795836,0.7471254222939872
linear,1.0,N/A,0.7026862191755414,0.013734212549244637,0.6820849003516745,0.7861355345465364,0.6863882557863039,0.742425180550075,0.772093088879657
linear,10.0,N/A,0.7288967999105113,0.005789919227197273,0.7202119210697153,0.8033582571206443,0.7095014734399868,0.7707414688915197,0.7919250335091748
rbf,0.1,scale,0.6962428723528614,0.014428836593711329,0.6745996174622945,0.7809743181055209,0.6791230587644511,0.7305984459853054,0.7692617007767858
rbf,0.1,0.01,0.26502396496275055,0.0068276892657440245,0.2547824310641345,0.5092540500408979,0.28217318505530875,0.33499999999999996,0.6468924649427404
rbf,1.0,scale,0.8258807363696523,0.006174250040967211,0.8166193613082015,0.863866244707723,0.8022593437230359,0.8601471960714309,0.8597504252333884
rbf,1.0,0.01,0.6394130449641111,0.012154039092119826,0.6211819863259314,0.7479561560840359,0.6272675743235577,0.6701659792296948,0.7329598595358097
rbf,10.0,scale,0.873107541907775,0.010703442982507142,0.8570523774340142,0.8976373108195845,0.8718478386323285,0.8756857927604589,0.8974661576930011
rbf,10.0,0.01,0.672661376500359,0.011425501407827469,0.6555231243886177,0.768195026533568,0.6578182296691752,0.7069130321764349,0.7524375083283037
